model,history_steps,local_grid,structured_output,max_steps,maze,has_loop,has_invalid,has_fallback,loop_rate,invalid_rate,fallback_rate
llama3.2:3b,20,1,0,60,,1,1,1,0.166667,0.033333,0.850000
llama3.2:3b,20,1,0,60,,1,1,1,0.150000,0.200000,0.683333
llama3.2:3b,20,1,0,60,,1,1,1,0.183333,0.133333,0.666667
llama3.2:3b,20,1,0,60,,1,1,1,0.150000,0.066667,0.783333
llama3.2:3b,20,1,0,60,,1,1,1,0.166667,0.100000,0.733333
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.133333,0.650000
llama3.2:3b,20,1,0,60,,1,1,1,0.133333,0.116667,0.750000
llama3.2:3b,0,1,0,80,,1,1,1,0.187500,0.112500,0.737500
llama3.2:3b,0,1,0,80,,1,1,1,0.112500,0.137500,0.800000
llama3.2:3b,0,1,0,80,,1,1,1,0.150000,0.100000,0.737500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.162500,0.562500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.100000,0.712500
llama3.2:3b,0,1,0,80,,1,1,1,0.100000,0.150000,0.687500
llama3.2:3b,0,1,0,80,,1,1,1,0.125000,0.150000,0.700000
llama3.2:3b,0,1,0,80,,1,1,1,0.150000,0.125000,0.700000
llama3.2:3b,0,1,0,80,,1,1,1,0.062500,0.225000,0.625000
llama3.2:3b,0,1,0,80,,1,1,1,0.087500,0.237500,0.662500
llama3.2:3b,5,1,0,80,,1,1,1,0.175000,0.112500,0.737500
llama3.2:3b,5,1,0,80,,1,1,1,0.117647,0.176471,0.647059
llama3.2:3b,5,1,0,80,,1,1,1,0.112500,0.162500,0.675000
llama3.2:3b,5,1,0,80,,1,1,1,0.163636,0.163636,0.672727
llama3.2:3b,5,1,0,80,,1,1,1,0.162500,0.175000,0.712500
llama3.2:3b,5,1,0,80,,1,1,1,0.050000,0.175000,0.687500
llama3.2:3b,5,1,0,80,,1,1,1,0.100000,0.137500,0.687500
llama3.2:3b,5,1,0,80,,1,1,1,0.112500,0.175000,0.750000
llama3.2:3b,5,1,0,80,,1,1,1,0.112500,0.087500,0.700000
llama3.2:3b,5,1,0,80,,1,1,1,0.137500,0.150000,0.675000
llama3.2:3b,10,1,0,80,,1,1,1,0.075000,0.150000,0.775000
llama3.2:3b,10,1,0,80,,1,1,1,0.137500,0.112500,0.762500
llama3.2:3b,10,1,0,80,,1,1,1,0.137500,0.087500,0.762500
llama3.2:3b,10,1,0,80,,1,1,1,0.163265,0.142857,0.775510
llama3.2:3b,10,1,0,80,,1,1,1,0.150000,0.062500,0.837500
llama3.2:3b,10,1,0,80,,1,1,1,0.100000,0.100000,0.737500
llama3.2:3b,10,1,0,80,,1,1,1,0.162500,0.037500,0.862500
llama3.2:3b,10,1,0,80,,1,1,1,0.162500,0.087500,0.825000
llama3.2:3b,10,1,0,80,,1,1,1,0.125000,0.187500,0.750000
llama3.2:3b,10,1,0,80,,1,1,1,0.150000,0.087500,0.825000
llama3.2:3b,20,1,0,80,,1,1,1,0.100000,0.150000,0.737500
llama3.2:3b,20,1,0,80,,1,1,1,0.125000,0.112500,0.775000
