run_dir,model,history_steps,local_grid,structured_output,max_steps,maze,chars_mean,chars_max,words_mean,words_max
run_20260219_224639_8,llama3.2:3b,20,1,0,80,,2693.1,3034,548.8,620
run_20260219_224639_9,llama3.2:3b,20,1,0,80,,2693.1,3034,548.275,620
run_20260219_231138_1,llama3.2:3b,10,1,0,80,,1653.9125,1744,331.1875,350
run_20260219_231138_10,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.75,350
run_20260219_231138_2,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.1,350
run_20260219_231138_3,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.275,350
run_20260219_231138_4,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.7,350
run_20260219_231138_5,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.7375,350
run_20260219_231138_6,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.1375,350
run_20260219_231138_7,llama3.2:3b,10,1,0,80,,1653.9125,1744,331.175,350
run_20260219_231138_8,llama3.2:3b,10,1,0,80,,1653.9125,1744,330.8125,350
run_20260219_231138_9,llama3.2:3b,10,1,0,80,,1653.9125,1744,331.225,350
run_20260219_233338_1,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.2,1671
run_20260219_233338_10,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.05,1672
run_20260219_233338_2,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.1333333333333,1673
run_20260219_233338_3,phi3:mini,0,1,0,60,,3478.7083333333335,6510,713.5208333333334,1348
run_20260219_233338_4,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.9333333333333,1672
run_20260219_233338_5,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.4166666666666,1671
run_20260219_233338_6,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.6333333333333,1673
run_20260219_233338_7,phi3:mini,0,1,0,60,,2317.8333333333335,4188,471.1,862
run_20260219_233338_8,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.2666666666667,1672
run_20260219_233338_9,phi3:mini,0,1,0,60,,4252.666666666667,8058,875.8166666666667,1672
run_20260220_002435_1,phi3:mini,5,1,0,60,,1065.4666666666667,1099,207.3,215
run_20260220_002435_10,phi3:mini,5,1,0,60,,987.2222222222222,1099,190.77777777777777,215
run_20260220_002435_2,phi3:mini,5,1,0,60,,1065.4666666666667,1099,207.16666666666666,215
run_20260220_002435_3,phi3:mini,5,1,0,60,,1065.4666666666667,1099,206.86666666666667,215
run_20260220_002435_4,phi3:mini,5,1,0,60,,1065.4666666666667,1099,207.13333333333333,215
run_20260220_002435_5,phi3:mini,5,1,0,60,,1021.6153846153846,1099,197.76923076923077,215
run_20260220_002435_6,phi3:mini,5,1,0,60,,1065.4666666666667,1099,206.26666666666668,215
run_20260220_002435_7,phi3:mini,5,1,0,60,,1065.4666666666667,1099,206.75,215
run_20260220_002435_8,phi3:mini,5,1,0,60,,1065.4666666666667,1099,207.31666666666666,215
run_20260220_002435_9,phi3:mini,5,1,0,60,,1065.4666666666667,1099,206.81666666666666,215
run_20260220_004639_1,phi3:mini,10,1,0,60,,1623.8833333333334,1744,323.8,350
run_20260220_004639_10,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.51666666666665,350
run_20260220_004639_2,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.31666666666666,350
